#Wavelength (cm)	Flux (erg s-1 cm-3)
1.0838070420739981e-05	55435347896.43826
1.084348945595035e-05	55613395557.42766
1.0848911200678325e-05	55791532242.24758
1.0854335656278664e-05	55969757995.40992
1.0859762824106803e-05	56148072861.44883
1.0865192705518855e-05	56326476884.92073
1.0870625301871615e-05	56504970110.40441
1.087606061452255e-05	56683552582.500824
1.0881498644829812e-05	56862224345.8333
1.0886939394152226e-05	57040985445.0474
1.08923828638493e-05	57219835924.811104
1.0897829055281224e-05	57398775829.8147
1.0903277969808865e-05	57577805204.77082
1.0908729608793769e-05	57756924094.414406
1.0914183973598165e-05	57936132543.5028
1.0919641065584963e-05	58115430596.815735
1.0925100886117754e-05	58294818299.15532
1.0930563436560812e-05	58474295695.34607
1.0936028718279092e-05	58653862830.234955
1.0941496732638231e-05	58833519748.69128
1.094696748100455e-05	59013266495.60684
1.0952440964745053e-05	59193103115.89586
1.0957917185227426e-05	59373029654.495026
1.0963396143820038e-05	59553046156.36345
1.0968877841891948e-05	59733152666.48285
1.0974362280812893e-05	59913349229.85727
1.09798494619533e-05	60093635891.513405
1.0985339386684276e-05	60274012696.50037
1.0990832056377618e-05	60454479689.88983
1.0996327472405806e-05	60635036916.77599
1.1001825636142008e-05	60815684422.27556
1.1007326548960078e-05	60996422251.52786
1.1012830212234557e-05	61177250449.69481
1.1018336627340674e-05	61358169061.96088
1.1023845795654344e-05	61539178133.53304
1.102935771855217e-05	61720277709.64099
1.1034872397411445e-05	61901467835.537
1.104038983361015e-05	62082748556.495964
1.1045910028526954e-05	62264119917.81541
1.1051432983541217e-05	62445581964.815506
1.1056958700032988e-05	62627134742.83912
1.1062487179383003e-05	62808778297.25174
1.1068018422972694e-05	62990512673.44156
1.1073552432184181e-05	63172337916.8195
1.1079089208400273e-05	63354254072.81914
1.1084628753004472e-05	63536261186.89673
1.1090171067380975e-05	63718359304.53139
1.1095716152914665e-05	63900548471.22486
1.1101264010991121e-05	64026438239.194336
1.1106814642996617e-05	63961182935.48921
1.1112368050318114e-05	63895895004.132256
1.1117924234343272e-05	63830574428.809616
1.1123483196460444e-05	63765221193.1993
1.1129044938058674e-05	63699835280.97119
1.1134609460527703e-05	63634416675.78696
1.1140176765257967e-05	63568965361.30013
1.1145746853640595e-05	63503481321.156075
1.1151319727067415e-05	63437964538.99194
1.1156895386930948e-05	63372414998.43672
1.1162473834624412e-05	63306832683.111244
1.1168055071541723e-05	63241217576.6281
1.1173639099077494e-05	63175569662.5917
1.1179225918627031e-05	63109888924.59829
1.1184815531586344e-05	63044175346.235886
1.1190407939352137e-05	62978428911.08429
1.1196003143321812e-05	62912649602.71512
1.1201601144893474e-05	62846837404.69176
1.120720194546592e-05	62780992300.56938
1.1212805546438653e-05	62715114273.89495
1.1218411949211871e-05	62649203308.2072
1.1224021155186477e-05	62583259387.03658
1.122963316576407e-05	62517282493.90539
1.123524798234695e-05	62451272612.32764
1.1240865606338124e-05	62385229725.80909
1.1246486039141292e-05	62319153817.84728
1.1252109282160862e-05	62253044871.931496
1.1257735336801943e-05	62186902871.54275
1.1263364204470343e-05	62120727800.15382
1.1268995886572577e-05	62054519641.22919
1.1274630384515862e-05	61988278378.2251
1.128026769970812e-05	61922003994.58949
1.1285907833557973e-05	61855696473.76208
1.1291550787474753e-05	61789355799.17424
1.129719656286849e-05	61722981954.249115
1.1302845161149923e-05	61656574922.40153
1.1308496583730498e-05	61590134687.03801
1.1314150832022364e-05	61523661231.55681
1.1319807907438374e-05	61457154539.347885
1.1325467811392093e-05	61390614593.79284
1.1331130545297788e-05	61324041378.26503
1.1336796110570436e-05	61257434876.129456
1.1342464508625721e-05	61190795070.742805
1.1348135740880034e-05	61124121945.45346
1.1353809808750473e-05	61057415483.60149
1.1359486713654847e-05	60990675668.51858
1.1365166457011674e-05	60923902483.52812
1.137084904024018e-05	60857095911.94518
1.1376534464760298e-05	60790255937.07645
1.1382222731992677e-05	60723382542.22028
1.1387913843358673e-05	60656475710.66669
1.1393607800280352e-05	60589535425.6973
1.1399304604180492e-05	60522561670.585434
1.1405004256482582e-05	60455554428.596016
1.1410706758610823e-05	60388513682.9856
1.1416412111990127e-05	60321439417.002396
1.1422120318046121e-05	60254331613.886185
1.1427831378205143e-05	60187190256.86842
1.1433545293894245e-05	60120015329.17214
1.1439262066541192e-05	60052806814.01202
1.1444981697574463e-05	59985564694.59431
1.145070418842325e-05	59918288954.11689
1.145642954051746e-05	59850979575.76924
1.1462157755287718e-05	59783636542.73242
1.1467888834165361e-05	59716259838.17908
1.1473622778582443e-05	59648849445.27347
1.1479359589971733e-05	59581405347.1714
1.1485099269766717e-05	59513927527.02028
1.14908418194016e-05	59446415967.95908
1.14965872403113e-05	59378870653.11836
1.1502335533931454e-05	59311291565.62022
1.150808670169842e-05	59243678688.57831
1.1513840745049268e-05	59176032005.09789
1.1519597665421793e-05	59108351498.27572
1.1525357464254503e-05	59040637151.20015
1.153112014298663e-05	58972888946.95103
1.1536885703058124e-05	58905106868.599785
1.1542654145909653e-05	58837290899.20937
1.1548425472982608e-05	58769441021.83426
1.1554199685719098e-05	58774317539.71317
1.1559976785561957e-05	58806489102.76237
1.1565756773954738e-05	58838676751.59308
1.1571539652341714e-05	58870880494.2482
1.1577325422167884e-05	58903100338.77465
1.1583114084878967e-05	58935336293.223366
1.1588905641921406e-05	58967588365.64931
1.1594700094742366e-05	58999856564.111465
1.1600497444789737e-05	59032140896.67285
1.1606297693512132e-05	59064441371.40052
1.1612100842358887e-05	59096757996.365555
1.1617906892780066e-05	59129090779.64307
1.1623715846226455e-05	59161439729.31221
1.1629527704149566e-05	59193804853.45619
1.1635342468001641e-05	59226186160.162254
1.1641160139235642e-05	59258583657.52167
1.1646980719305258e-05	59290997353.62975
1.165280420966491e-05	59323427256.5859
1.1658630611769742e-05	59355873374.49352
1.1664459927075626e-05	59388335715.46009
1.1670292157039162e-05	59420814287.59715
1.1676127303117681e-05	59453309099.02028
1.1681965366769239e-05	59485820157.84911
1.1687806349452622e-05	59518347472.20737
1.1693650252627349e-05	59550891050.22281
1.1699497077753663e-05	59583450900.02725
1.170534682629254e-05	59616027029.7566
1.1711199499705686e-05	59648619447.55081
1.1717055099455538e-05	59681228161.55391
1.1722913627005265e-05	59713853179.91402
1.1728775083818767e-05	59746494510.78331
1.1734639471360677e-05	59779152162.31803
1.1740506791096357e-05	59811826142.67853
1.1746377044491905e-05	59844516460.0292
1.175225023301415e-05	59877223122.53854
1.1758126358130656e-05	59909946138.379135
1.176400542130972e-05	59942685515.72765
1.1769887424020375e-05	59975441262.764854
1.1775772367732385e-05	60008213387.67557
1.178166025391625e-05	60041001898.648735
1.1787551084043208e-05	60073806803.87739
1.179344485958523e-05	60106628111.55866
1.1799341582015021e-05	60139465829.89377
1.1805241252806028e-05	60172319967.08804
1.181114387343243e-05	60205190531.350914
1.1817049445369146e-05	60238077530.89592
1.182295797009183e-05	60270980973.9407
1.1828869449076875e-05	60303900868.707
1.1834783883801413e-05	60336837223.420685
1.1840701275743313e-05	60369790046.31172
1.1846621626381185e-05	60402759345.61421
1.1852544937194374e-05	60435745129.566345
1.1858471209662971e-05	60468747406.41046
1.1864400445267801e-05	60501766184.39299
1.1870332645490434e-05	60534801471.76451
1.1876267811813178e-05	60567853276.779724
1.1882205945719084e-05	60600921607.69744
1.1888147048691942e-05	60634006472.78062
1.1894091122216287e-05	60667107880.29633
1.1900038167777395e-05	60713244467.54796
1.1905988186861282e-05	62775868163.15977
1.1911941180954712e-05	64839523170.619736
1.1917897151545189e-05	66904210005.58331
1.192385610012096e-05	68969929183.96431
1.192981802817102e-05	71036681221.93439
1.1935782937185104e-05	73104466635.92355
1.1941750828653696e-05	75173285942.61966
1.1947721704068023e-05	77243139658.96953
1.1953695564920056e-05	79314028302.17722
1.1959672412702514e-05	81385952389.70631
1.1965652248908865e-05	83458912439.27943
1.1971635075033319e-05	85532908968.87756
1.1977620892570834e-05	87607942496.74008
1.1983609703017119e-05	89684013541.36655
1.1989601507868626e-05	91761122621.51549
1.199559630862256e-05	93839270256.20439
1.200159410677687e-05	95918456964.71095
1.2007594903830259e-05	97998683266.57181
1.2013598701282173e-05	100079949681.58316
1.2019605500632813e-05	102162256729.80199
1.2025615303383129e-05	104245604931.54541
1.203162811103482e-05	106329994807.38954
1.2037643925090337e-05	108415426878.17178
1.2043662747052882e-05	110501901664.9892
1.2049684578426408e-05	112589419689.20004
1.205570942071562e-05	114677981472.42288
1.2061737275425978e-05	116767587536.5375
