#Wavelength (cm)	Flux (erg s-1 cm-3)
1.1090171067380975e-05	11709789087.68472
1.1095716152914665e-05	11743270751.985668
1.1101264010991121e-05	11766406040.579254
1.1106814642996617e-05	11754413800.79813
1.1112368050318114e-05	11742415564.897118
1.1117924234343272e-05	11730411329.878153
1.1123483196460444e-05	11718401092.74168
1.1129044938058674e-05	11706384850.486637
1.1134609460527703e-05	11694362600.110466
1.1140176765257967e-05	11682334338.609106
1.1145746853640595e-05	11670300062.977
1.1151319727067415e-05	11658259770.207075
1.1156895386930948e-05	11646213457.290766
1.1162473834624412e-05	11634161121.218
1.1168055071541723e-05	11622102758.977198
1.1173639099077494e-05	11610038367.555275
1.1179225918627031e-05	11597967943.937641
1.1184815531586344e-05	11585891485.108198
1.1190407939352137e-05	11573808988.04934
1.1196003143321812e-05	11561720449.741951
1.1201601144893474e-05	11549625867.165407
1.120720194546592e-05	11537525237.297575
1.1212805546438653e-05	11525418557.11481
1.1218411949211871e-05	11513305823.591957
1.1224021155186477e-05	11501187033.70234
1.122963316576407e-05	11489062184.417776
1.123524798234695e-05	11476931272.708574
1.1240865606338124e-05	11464794295.543516
1.1246486039141292e-05	11452651249.889875
1.1252109282160862e-05	11440502132.713408
1.1257735336801943e-05	11428346940.97835
1.1263364204470343e-05	11416185671.647429
1.1268995886572577e-05	11404018321.68184
1.1274630384515862e-05	11391844888.04127
1.128026769970812e-05	11379665367.683878
1.1285907833557973e-05	11367479757.566307
1.1291550787474753e-05	11355288054.643675
1.129719656286849e-05	11343090255.869585
1.1302845161149923e-05	11330886358.196106
1.1308496583730498e-05	11318676358.57379
1.1314150832022364e-05	11306460253.951662
1.1319807907438374e-05	11294238041.277227
1.1325467811392093e-05	11282009717.496452
1.1331130545297788e-05	11269775279.55379
1.1336796110570436e-05	11257534724.392153
1.1342464508625721e-05	11245288048.952936
1.1348135740880034e-05	11233035250.175999
1.1353809808750473e-05	11220776324.999676
1.1359486713654847e-05	11208511270.360764
1.1365166457011674e-05	11196240083.19453
1.137084904024018e-05	11183962760.434715
1.1376534464760298e-05	11171679299.013521
1.1382222731992677e-05	11159389695.861616
1.1387913843358673e-05	11147093947.908134
1.1393607800280352e-05	11134792052.080677
1.1399304604180492e-05	11122484005.305302
1.1405004256482582e-05	11110169804.506542
1.1410706758610823e-05	11097849446.607384
1.1416412111990127e-05	11085522928.529276
1.1422120318046121e-05	11073190247.192127
1.1427831378205143e-05	11060851399.514313
