#Wavelength (cm)	Flux (erg s-1 cm-3)
1.2667326827933941e-05	4512152331.943693
1.2673660491347908e-05	4796832035.881203
1.2679997321593581e-05	5621665502.616475
1.2686337320254377e-05	3770641186.3940487
1.2692680488914503e-05	3343021397.065523
1.269902682915896e-05	4148178252.565956
1.2705376342573539e-05	4817757898.308237
1.2711729030744824e-05	4764667361.77323
1.2718084895260195e-05	3567725981.3605027
1.2724443937707825e-05	2241151856.71471
1.2730806159676678e-05	1613504948.1076162
1.2737171562756516e-05	3297694328.5242896
1.2743540148537893e-05	6902105144.422824
1.2749911918612162e-05	10617626601.831692
1.2756286874571467e-05	6696168676.793668
1.2762665018008752e-05	5153842222.913742
1.2769046350517756e-05	5716888654.935805
1.2775430873693015e-05	8016860904.213605
1.2781818589129861e-05	8353901646.447151
1.2788209498424426e-05	5612087366.3939295
1.2794603603173637e-05	5375575947.579699
1.2801000904975222e-05	5609618546.304594
1.2807401405427709e-05	5752735863.34287
1.2813805106130422e-05	4184076002.5647955
1.2820212008683486e-05	2296469421.803383
1.2826622114687828e-05	2715352706.021393
1.2833035425745171e-05	2843360305.9041343
1.2839451943458044e-05	2757336886.7643433
1.2845871669429772e-05	2380611116.8328514
1.2852294605264486e-05	2538443262.5401382
1.2858720752567117e-05	3301148273.6915703
1.28651501129434e-05	3064293075.8262424
1.2871582687999872e-05	4077013008.5030346
1.2878018479343872e-05	7503225300.373327
1.2884457488583543e-05	7538646554.700326
1.2890899717327833e-05	7141614631.339825
1.2897345167186497e-05	7918815284.863279
1.290379383977009e-05	6249935885.623642
1.2910245736689974e-05	3904692470.6161404
1.2916700859558318e-05	3680260290.28072
1.2923159209988097e-05	3140108016.1727557
1.292962078959309e-05	2463327576.983154
1.2936085599987886e-05	3106807207.006265
1.294255364278788e-05	5166228877.0217
1.2949024919609273e-05	8608508062.068748
1.2955499432069076e-05	9178793681.521486
1.296197718178511e-05	8094344157.015573
1.2968458170376001e-05	4853938140.905686
1.2974942399461189e-05	4772859065.437535
1.2981429870660918e-05	6496534096.617256
1.2987920585596248e-05	10937559568.458775
1.2994414545889045e-05	7889261276.326232
1.300091175316199e-05	22909760908.12728
1.300741220903857e-05	97751864695.52713
1.3013915915143089e-05	444013184360.60596
1.3020422873100659e-05	726884174746.5951
1.302693308453721e-05	198032431713.26
1.3033446551079477e-05	9687594946.347477
1.3039963274355016e-05	189146147795.1983
1.3046483255992193e-05	1870448072298.2185
1.3053006497620188e-05	2951991404029.6943
1.3059533000868998e-05	3471849706134.3525
1.3066062767369432e-05	1233104394183.1382
1.3072595798753117e-05	130155600092.66307
1.3079132096652493e-05	130155600092.66307
1.3085671662700819e-05	130155600092.66307
1.309221449853217e-05	130155600092.66307
1.3098760605781434e-05	130155600092.66307
1.3105309986084325e-05	130155600092.66307
1.3111862641077366e-05	130155600092.66307
1.3118418572397904e-05	130155600092.66307
1.3124977781684102e-05	130155600092.66307
1.3131540270574943e-05	130155600092.66307
1.313810604071023e-05	130155600092.66307
1.3144675093730584e-05	130155600092.66307
1.3151247431277448e-05	130155600092.66307
1.3157823054993085e-05	130155600092.66307
